$LOC_BLANK,$BRANCH_COUNT,$CALL_PAIRS,$LOC_CODE_AND_COMMENT,$LOC_COMMENTS,$CONDITION_COUNT,$CYCLOMATIC_COMPLEXITY,$CYCLOMATIC_DENSITY,$DECISION_COUNT,$DECISION_DENSITY,$DESIGN_COMPLEXITY,$DESIGN_DENSITY,$EDGE_COUNT,$ESSENTIAL_COMPLEXITY,$ESSENTIAL_DENSITY,$LOC_EXECUTABLE,$PARAMETER_COUNT,$HALSTEAD_CONTENT,$HALSTEAD_DIFFICULTY,$HALSTEAD_EFFORT,$HALSTEAD_ERROR_EST,$HALSTEAD_LENGTH,$HALSTEAD_LEVEL,$HALSTEAD_PROG_TIME,$HALSTEAD_VOLUME,$MAINTENANCE_SEVERITY,$MODIFIED_CONDITION_COUNT,$MULTIPLE_CONDITION_COUNT,$NODE_COUNT,$NORMALIZED_CYLOMATIC_COMPLEXITY,$NUM_OPERANDS,$NUM_OPERATORS,$NUM_UNIQUE_OPERANDS,$NUM_UNIQUE_OPERATORS,$NUMBER_OF_LINES,$PERCENT_COMMENTS,$LOC_TOTAL,$<Defective
4,3,3,0,0,4,2,0.07,2,2,2,1,7,1,0,28,2,40.86,10.25,4292.33,0.14,81,0.1,238.46,418.76,0.5,1,2,7,0.06,41,40,24,12,33,0,28,0
1,9,2,0,6,10,5,0.56,2,5,3,0.6,14,5,1,9,1,18.8,4.57,392.92,0.03,22,0.22,21.83,85.95,1,4,5,11,0.29,8,14,7,8,17,40,9,0
23,31,9,1,32,52,16,0.24,20,2.6,8,0.5,67,12,0,66,3,72.95,17.37,22006.83,0.42,201,0.06,1222.6,1267.06,0.75,16,26,53,0.13,90,111,57,22,123,33.33,67,1
3,5,2,0,0,8,3,0.23,4,2,3,1,10,1,0,13,0,22.48,8.33,1560.8,0.06,42,0.12,86.71,187.3,0.33,2,4,9,0.18,20,22,12,10,17,0,13,0
3,7,5,0,4,4,5,0.14,2,2,5,1,20,1,0,37,1,52.8,13.84,10117.34,0.24,127,0.07,562.07,730.87,0.2,1,2,17,0.11,51,76,35,19,45,9.76,37,0
5,5,1,0,3,8,3,0.2,4,2,2,0.67,10,1,0,15,2,17.13,15.61,4172.6,0.09,53,0.06,231.81,267.35,0.33,2,4,9,0.13,23,30,14,19,24,16.67,15,0
3,5,3,0,5,8,3,0.1,4,2,3,1,19,1,0,30,1,100.29,10.06,10151.3,0.34,177,0.1,563.96,1008.98,0.33,2,4,18,0.08,75,102,41,11,39,14.29,30,1
4,13,4,0,1,22,7,0.28,10,2.2,6,0.86,32,4,0,25,0,35.89,10.4,3882.17,0.12,74,0.1,215.68,373.29,0.57,6,11,27,0.23,32,42,20,13,31,3.85,25,0
9,28,6,0,4,16,22,0.48,8,2,21,0.95,59,1,0,46,2,54.53,33.06,59603.26,0.6,286,0.03,3311.29,1802.88,0.05,4,8,39,0.37,114,172,50,29,60,8,46,0
5,5,2,0,3,8,3,0.2,4,2,2,0.67,11,1,0,15,0,22.75,10.62,2563.41,0.08,52,0.09,142.41,241.48,0.33,2,4,10,0.13,23,29,13,12,24,16.67,15,0
2,3,2,0,2,4,2,0.22,2,2,2,1,8,1,0,9,0,25.03,4.9,600.86,0.04,30,0.2,33.38,122.62,0.5,1,2,8,0.14,14,16,10,7,14,18.18,9,0
5,7,5,0,0,12,4,0.13,6,2,4,1,17,1,0,30,0,57.87,13.1,9925.73,0.25,138,0.08,551.43,757.88,0.25,3,6,15,0.11,58,80,31,14,36,0,30,0
3,7,3,0,4,12,4,0.25,6,2,3,0.75,16,1,0,16,1,28.82,6.75,1312.96,0.06,43,0.15,72.94,194.51,0.25,3,6,14,0.17,21,22,14,9,24,20,16,0
14,23,11,0,13,38,12,0.21,18,2.11,9,0.75,58,4,0,58,2,52.09,23.52,28823.57,0.41,202,0.04,1601.31,1225.35,0.33,10,19,48,0.14,90,112,44,23,86,18.31,58,0
3,7,3,0,0,12,4,0.19,6,2,4,1,19,1,0,21,0,55.61,6,2002.01,0.11,68,0.17,111.22,333.67,0.25,3,6,17,0.16,28,40,21,9,25,0,21,0
4,9,3,0,5,16,5,0.5,6,2.67,4,0.8,18,1,0,10,1,18.99,10.77,2201.88,0.07,43,0.09,122.33,204.46,0.2,5,8,15,0.25,20,23,13,14,20,33.33,10,0
4,11,4,0,2,16,6,0.3,6,2.67,4,0.67,20,5,0,20,0,29.7,11.28,3778.06,0.11,67,0.09,209.89,335,0.83,5,8,16,0.22,29,38,18,14,27,9.09,20,0
0,3,2,0,0,4,2,0.5,2,2,2,1,6,1,0,4,0,14.62,2.5,91.35,0.01,11,0.4,5.08,36.54,0.5,1,2,6,0.4,5,6,5,5,5,0,4,0
0,9,0,0,2,14,5,0.45,6,2.33,1,0.2,16,5,1,11,2,11.6,19.69,4495.15,0.08,47,0.05,249.73,228.33,1,4,7,13,0.36,15,32,8,21,14,15.38,11,0
2,5,1,0,4,8,3,0.23,4,2,2,0.67,11,1,0,13,3,11.63,17,3360.12,0.07,45,0.06,186.67,197.65,0.33,2,4,10,0.15,17,28,7,14,20,23.53,13,0
0,3,1,0,0,4,2,0.29,2,2,2,1,5,1,0,7,0,8.64,4.17,150,0.01,12,0.24,8.33,36,0.5,1,2,5,0.25,5,7,3,5,8,0,7,0
11,35,10,0,5,58,18,0.28,24,2.42,12,0.67,85,10,0,64,3,81.86,19.83,32200.08,0.54,264,0.05,1788.89,1623.53,0.56,17,29,69,0.22,126,138,54,17,81,7.25,64,0
3,3,4,0,2,4,2,0.22,2,2,2,1,9,1,0,9,1,26.74,5.33,760.66,0.05,33,0.19,42.26,142.62,0.5,1,2,9,0.13,16,17,12,8,15,18.18,9,0
1,3,2,0,0,4,2,0.2,2,2,2,1,7,1,0,10,3,22.64,5.73,742.59,0.04,30,0.17,41.25,129.66,0.5,1,2,7,0.17,14,16,11,9,12,0,10,0
4,9,14,0,2,12,5,0.21,6,2,5,1,32,1,0,24,2,94.27,5.25,2598.43,0.16,93,0.19,144.36,494.94,0.2,3,6,29,0.16,42,51,32,8,31,7.69,24,0
4,11,6,0,3,12,7,0.25,6,2,7,1,26,1,0,28,0,37.56,11.33,4824.95,0.14,83,0.09,268.05,425.73,0.14,3,6,21,0.19,34,49,21,14,36,9.68,28,0
9,11,3,0,7,12,7,0.11,6,2,4,0.57,29,1,0,64,0,57.9,25.29,37041.01,0.49,250,0.04,2057.83,1464.5,0.14,3,6,24,0.09,122,128,41,17,81,9.86,64,0
3,3,5,1,4,4,2,0.11,2,2,2,1,11,1,0,17,2,39.07,7.06,1946.71,0.09,58,0.14,108.15,275.78,0.5,1,2,11,0.08,24,34,17,10,26,22.73,18,0
30,50,17,0,25,82,26,0.23,36,2.28,20,0.77,134,9,0,112,0,95.37,34.67,114633.41,1.1,483,0.03,6368.52,3306.37,0.35,23,41,110,0.15,226,257,88,27,168,18.25,112,1
2,7,4,0,0,12,4,0.33,6,2,3,0.75,15,1,0,12,0,27.49,6.42,1132.02,0.06,39,0.16,62.89,176.42,0.25,3,6,13,0.27,14,25,12,11,15,0,12,0
3,3,5,0,2,4,2,0.18,2,2,2,1,11,1,0,11,1,33.46,3,301.14,0.03,28,0.33,16.73,100.38,0.5,1,2,11,0.12,12,16,8,4,17,15.38,11,0
11,12,10,0,15,6,9,0.16,2,3,8,0.89,29,1,0,58,0,39.93,28.29,31947.46,0.38,170,0.04,1774.86,1129.46,0.11,2,3,22,0.11,72,98,56,44,85,20.55,58,0
0,7,2,0,0,12,4,0.4,6,2,2,0.5,14,1,0,10,0,37.82,4,605.07,0.05,35,0.25,33.61,151.27,0.25,3,6,12,0.36,12,23,12,8,11,0,10,0
6,5,6,0,3,8,3,0.1,4,2,3,1,19,1,0,30,1,44.88,14.4,9306.1,0.22,117,0.07,517.01,646.26,0.33,2,4,18,0.08,54,63,30,16,40,9.09,30,0
4,19,6,0,1,32,10,0.31,14,2.29,9,0.9,37,4,0,32,0,49.95,12.36,7636.01,0.21,110,0.08,424.22,617.62,0.4,9,16,29,0.26,51,59,33,16,38,3.03,32,0
2,7,4,0,1,12,4,0.25,6,2,4,1,19,4,1,16,0,42.95,4.15,741.1,0.06,42,0.24,41.17,178.41,1,3,6,17,0.2,18,24,13,6,20,5.88,16,0
1,3,2,0,1,4,2,0.4,2,2,2,1,6,1,0,5,0,16.73,3,150.57,0.02,14,0.33,8.36,50.19,0.5,1,2,6,0.25,6,8,6,6,8,16.67,5,0
14,17,12,0,6,28,9,0.23,12,2.33,8,0.89,48,5,0,40,0,86.51,10.16,8923.89,0.29,147,0.1,495.77,878.66,0.56,8,14,41,0.15,65,82,48,15,61,13.04,40,0
3,3,2,0,3,4,2,0.29,2,2,1,0.5,7,1,0,7,3,13.45,9,1089.13,0.04,28,0.11,60.51,121.01,0.5,1,2,7,0.14,12,16,8,12,14,30,7,0
3,3,0,0,3,4,2,0.25,2,2,1,0.5,6,1,0,8,1,14.09,9.29,1214.56,0.04,32,0.11,67.48,130.8,0.5,1,2,6,0.13,13,19,7,10,15,27.27,8,0
3,3,4,0,1,4,2,0.18,2,2,2,1,11,1,0,11,3,30.55,7.09,1536.14,0.07,53,0.14,85.34,216.64,0.5,1,2,11,0.13,26,27,11,6,16,8.33,11,0
7,10,1,0,2,12,6,0.15,6,2,5,0.83,21,1,0,39,0,29.3,25.54,19104.17,0.25,130,0.04,1061.34,748.14,0.17,3,6,17,0.12,55,75,28,26,49,4.88,39,0
17,43,13,0,18,76,22,0.28,34,2.24,17,0.77,103,12,0,80,2,97.4,18.49,33283.94,0.6,276,0.05,1849.11,1800.5,0.55,21,38,83,0.19,125,151,71,21,116,18.37,80,0
16,23,10,0,8,38,12,0.24,16,2.38,9,0.75,57,7,0,49,1,72.52,16.2,19033.06,0.39,193,0.06,1057.39,1174.88,0.58,11,19,47,0.16,90,103,50,18,74,14.04,49,0
2,3,2,0,0,4,2,0.2,2,2,2,1,9,1,0,10,0,26.13,7.46,1455.85,0.07,42,0.13,80.88,195.04,0.5,1,2,9,0.15,19,23,14,11,13,0,10,0
2,3,1,0,0,4,2,0.25,2,2,2,1,7,1,0,8,1,10.38,12.07,1512.98,0.04,29,0.08,84.05,125.34,0.5,1,2,7,0.18,13,16,7,13,11,0,8,0
9,7,9,0,3,4,5,0.13,2,2,5,1,26,1,0,38,0,49.05,14.86,10838.14,0.24,125,0.07,602.12,729.11,0.2,1,2,23,0.1,55,70,37,20,51,7.32,38,0
6,15,7,0,5,14,9,0.29,6,2.33,6,0.67,32,1,0,31,0,35.72,13.91,6910.42,0.17,94,0.07,383.91,496.83,0.11,4,7,25,0.21,36,58,22,17,43,13.89,31,0
4,7,6,0,0,4,5,0.23,2,2,5,1,17,1,0,22,0,36.22,9.03,2951.88,0.11,66,0.11,163.99,326.98,0.2,1,2,14,0.19,25,41,18,13,27,0,22,0
1,3,2,16,0,4,2,0.08,2,2,2,1,21,1,0,9,0,103.2,5.62,3260.81,0.19,109,0.18,181.16,580.09,0.5,1,2,21,0.07,53,56,33,7,27,64,25,0
