$LOC_BLANK,$BRANCH_COUNT,$CALL_PAIRS,$LOC_CODE_AND_COMMENT,$LOC_COMMENTS,$CONDITION_COUNT,$CYCLOMATIC_COMPLEXITY,$CYCLOMATIC_DENSITY,$DECISION_COUNT,$DECISION_DENSITY,$DESIGN_COMPLEXITY,$DESIGN_DENSITY,$EDGE_COUNT,$ESSENTIAL_COMPLEXITY,$ESSENTIAL_DENSITY,$LOC_EXECUTABLE,$PARAMETER_COUNT,$HALSTEAD_CONTENT,$HALSTEAD_DIFFICULTY,$HALSTEAD_EFFORT,$HALSTEAD_ERROR_EST,$HALSTEAD_LENGTH,$HALSTEAD_LEVEL,$HALSTEAD_PROG_TIME,$HALSTEAD_VOLUME,$MAINTENANCE_SEVERITY,$MODIFIED_CONDITION_COUNT,$MULTIPLE_CONDITION_COUNT,$NODE_COUNT,$NORMALIZED_CYLOMATIC_COMPLEXITY,$NUM_OPERANDS,$NUM_OPERATORS,$NUM_UNIQUE_OPERANDS,$NUM_UNIQUE_OPERATORS,$NUMBER_OF_LINES,$PERCENT_COMMENTS,$LOC_TOTAL,$<Defective
1,3,2,0,0,4,2,0.22,2,2,2,1,6,1,0,9,0,18.23,3.86,271.19,0.02,19,0.26,15.07,70.31,0.5,1,2,6,0.18,9,10,7,6,11,0,9,0
9,5,3,0,15,8,3,0.16,4,2,3,1,19,1,0,19,2,26.1,10.71,2996.6,0.09,61,0.09,166.48,279.68,0.33,2,4,18,0.07,30,31,14,10,44,44.12,19,0
7,3,5,0,2,4,2,0.11,2,2,2,1,13,1,0,19,0,64.34,4.45,1276.77,0.1,59,0.22,70.93,286.62,0.5,1,2,13,0.07,28,31,22,7,29,9.52,19,0
2,3,2,0,5,4,2,0.17,2,2,2,1,9,1,0,12,2,15.07,9.75,1432.72,0.05,34,0.1,79.6,146.95,0.5,1,2,9,0.1,13,21,8,12,20,29.41,12,0
0,3,3,0,1,4,2,0.33,2,2,2,1,7,1,0,6,2,25.16,2.5,157.27,0.02,17,0.4,8.74,62.91,0.5,1,2,7,0.25,8,9,8,5,8,14.29,6,0
7,5,5,0,2,8,3,0.19,4,2,3,1,15,1,0,16,0,43.23,5.5,1307.59,0.08,50,0.18,72.64,237.74,0.33,2,4,14,0.12,22,28,18,9,26,11.11,16,0
5,5,13,0,3,4,3,0.13,2,2,3,1,24,1,0,23,2,88.98,6.22,3442.96,0.18,102,0.16,191.28,553.48,0.33,1,2,23,0.09,47,55,34,9,32,11.54,23,0
4,7,14,0,2,8,4,0.17,4,2,4,1,30,1,0,24,2,103.04,5.37,2972.97,0.18,102,0.19,165.17,553.48,0.25,2,4,28,0.13,47,55,35,8,31,7.69,24,0
4,5,0,0,6,8,3,0.33,4,2,1,0.33,9,1,0,9,2,10.63,11.92,1509.98,0.04,31,0.08,83.89,126.71,0.33,2,4,8,0.15,13,18,6,11,20,40,9,0
12,5,10,0,4,8,3,0.06,4,2,3,1,21,1,0,48,1,63.45,13.77,12025.31,0.29,160,0.07,668.07,873.51,0.33,2,4,20,0.05,59,101,30,14,65,7.69,48,0
3,5,0,0,2,8,3,0.25,4,2,1,0.33,10,1,0,12,2,27.78,4.67,605.07,0.04,30,0.21,33.61,129.66,0.33,2,4,9,0.17,14,16,12,8,18,14.29,12,0
11,5,4,0,10,6,3,0.18,2,3,2,0.67,18,3,1,17,0,61.4,11.09,7552.8,0.23,124,0.09,419.6,680.99,1,2,3,17,0.08,61,63,33,12,39,37.04,17,0
1,5,3,0,0,8,3,0.15,4,2,3,1,13,1,0,20,0,42.85,5.83,1458.23,0.08,52,0.17,81.01,249.98,0.33,2,4,12,0.14,21,31,18,10,22,0,20,0
2,7,4,0,0,12,4,0.33,6,2,3,0.75,15,1,0,12,0,30.19,5.92,1059.13,0.06,39,0.17,58.84,178.81,0.25,3,6,13,0.27,14,25,13,11,15,0,12,1
3,5,4,0,0,8,3,0.38,4,2,3,1,12,1,0,8,0,34.55,3.5,423.25,0.04,29,0.29,23.51,120.93,0.33,2,4,11,0.25,14,15,12,6,12,0,8,0
9,5,2,0,5,8,3,0.11,4,2,2,0.67,12,3,1,27,2,35.26,21.24,15905.03,0.25,138,0.05,883.61,748.82,1,2,4,11,0.07,59,79,25,18,42,15.63,27,0
2,8,7,0,0,4,6,0.32,2,2,6,1,17,1,0,19,0,36.77,10.91,4375.94,0.13,77,0.09,243.11,401.13,0.17,1,2,13,0.27,32,45,22,15,22,0,19,0
6,13,7,0,6,24,7,0.23,12,2,6,0.86,31,1,0,31,0,62.84,11.23,7918.85,0.24,130,0.09,439.94,705.41,0.14,6,12,26,0.16,58,72,31,12,44,16.21,31,0
3,7,3,0,1,12,4,0.27,6,2,3,0.75,16,3,0,15,1,18.89,9.82,1820.94,0.06,41,0.1,101.16,185.47,0.75,3,6,14,0.2,18,23,11,12,20,6.25,15,0
6,15,11,0,2,26,8,0.24,12,2.17,7,0.88,37,7,0,34,0,47.8,16.05,12318.72,0.26,131,0.06,684.37,767.4,0.88,7,13,31,0.19,61,70,38,20,43,5.56,34,0
3,3,2,0,0,4,2,0.14,2,2,2,1,8,1,0,14,0,26.83,6.92,1285.99,0.06,40,0.14,71.44,185.75,0.5,1,2,8,0.11,15,25,13,12,18,0,14,0
1,3,1,0,1,4,2,0.2,2,2,1,0.5,7,1,0,10,2,14.32,7.71,852.01,0.04,26,0.13,47.33,110.45,0.5,1,2,7,0.15,9,17,7,12,13,9.09,10,0
3,39,3,1,3,40,20,0.53,4,10,20,1,63,20,1,37,0,97.07,6.18,3709.37,0.2,112,0.16,206.08,600.05,1,18,20,45,0.44,51,61,33,8,45,9.76,38,0
13,35,9,0,8,52,18,0.3,18,2.89,8,0.44,74,12,0,61,1,76.37,23.23,41194.43,0.59,276,0.04,2288.58,1773.65,0.67,17,48,58,0.22,120,156,62,24,83,11.59,61,0
2,3,2,0,4,4,2,0.22,2,2,2,1,7,1,0,9,2,19.51,8,1248.64,0.05,35,0.13,69.37,156.08,0.5,1,2,7,0.13,16,19,11,11,16,30.77,9,0
3,7,9,0,2,12,4,0.13,6,2,4,1,22,1,0,31,2,64.76,7.4,3542.75,0.16,90,0.14,196.82,478.97,0.25,3,6,20,0.11,39,51,29,11,37,6.06,31,0
3,5,4,0,4,8,3,0.25,4,2,3,1,11,1,0,12,2,42.23,6.94,2036.45,0.1,61,0.14,113.14,293.25,0.33,2,4,10,0.15,25,36,18,10,20,25,12,0
10,17,4,0,10,28,9,0.29,12,2.33,3,0.33,39,5,0,31,0,52.98,20.54,22355.6,0.36,190,0.05,1241.98,1088.3,0.56,8,15,32,0.17,87,103,36,17,52,24.39,31,0
8,16,4,0,5,24,9,0.31,10,2.4,4,0.44,33,4,0,29,0,18.35,26,12402.61,0.16,93,0.04,689.03,477.02,0.44,7,12,26,0.21,39,54,15,20,43,14.71,29,0
16,17,24,0,11,28,9,0.16,14,2,9,1,55,1,0,55,2,175.1,7.86,10809.44,0.46,217,0.13,600.52,1375.75,0.11,7,14,48,0.11,100,117,70,11,83,16.67,55,1
17,15,25,0,11,24,8,0.18,12,2,8,1,56,1,0,44,2,121.61,9.12,10120.84,0.37,181,0.11,562.27,1109.4,0.13,6,12,50,0.11,80,101,57,13,73,20,44,1
4,3,6,0,1,4,2,0.18,2,2,2,1,12,1,0,11,0,56.19,3,505.67,0.06,39,0.33,28.09,168.56,0.5,1,2,12,0.12,18,21,15,5,17,8.33,11,0
3,7,3,0,4,12,4,0.31,6,2,4,1,15,3,0,13,2,21.23,5.5,642.17,0.04,28,0.18,35.68,116.76,0.75,3,6,13,0.19,11,17,9,9,21,23.53,13,0
1,3,2,0,2,4,2,0.2,2,2,2,1,7,1,0,10,0,18.91,5.5,572,0.03,26,0.18,31.78,104,0.5,1,2,7,0.14,11,15,8,8,14,16.67,10,0
8,16,3,0,5,24,9,0.23,12,2,1,0.11,43,1,0,40,2,54.41,25.41,35137.98,0.46,245,0.04,1952.11,1382.74,0.11,6,12,36,0.17,108,137,34,16,54,11.11,40,0
26,24,13,1,16,32,14,0.17,14,2.29,11,0.79,88,7,0,82,0,99.15,21.29,44929.28,0.7,322,0.05,2496.07,2110.58,0.5,9,16,76,0.11,148,174,73,21,126,17.17,83,0
5,13,4,0,6,22,7,0.28,10,2.2,6,0.86,26,6,0,25,0,32.88,10.95,3941.05,0.12,72,0.09,218.95,360,0.86,6,11,21,0.19,32,40,19,13,37,19.35,25,0
4,9,5,0,4,14,5,0.33,6,2.33,4,0.8,18,3,0,15,1,40.48,7.2,2098.65,0.1,60,0.14,116.59,291.48,0.6,4,7,15,0.21,32,28,20,9,24,21.05,15,0
2,5,2,0,5,8,3,0.33,4,2,3,1,10,1,0,9,0,19.56,4.5,396,0.03,22,0.22,22,88,0.33,2,4,9,0.18,9,13,8,8,17,35.71,9,0
21,25,22,0,2,12,21,0.31,6,2,21,1,58,1,0,67,1,71.63,20.1,28928.56,0.48,224,0.05,1607.14,1439.48,0.05,3,6,39,0.23,79,145,57,29,91,2.9,67,0
1,5,4,0,0,8,3,0.25,4,2,3,1,11,1,0,12,0,30.45,4.62,648.71,0.05,32,0.22,36.04,140.55,0.33,2,4,10,0.21,15,17,13,8,14,0,12,0
5,5,4,0,4,8,3,0.19,4,2,3,1,12,1,0,16,3,23.2,12.5,3624.82,0.1,57,0.08,201.38,289.99,0.33,2,4,11,0.12,25,32,17,17,26,20,16,0
2,5,2,0,1,6,3,0.18,2,3,2,0.67,10,3,1,17,0,35.86,9.9,3514.5,0.12,71,0.1,195.25,355,1,2,3,9,0.14,33,38,20,12,21,5.56,17,0
22,22,12,0,17,30,12,0.21,12,2.5,7,0.58,59,10,0,57,0,55.49,25.96,37407.34,0.48,226,0.04,2078.19,1440.76,0.83,9,15,49,0.12,102,124,55,28,97,22.97,57,1
9,7,6,0,8,12,4,0.14,6,2,3,0.75,22,1,0,29,0,48.34,11.15,6010.8,0.18,96,0.09,333.93,539.01,0.25,3,6,20,0.09,46,50,33,16,47,21.62,29,1
2,9,1,0,4,16,5,0.36,8,2,2,0.4,21,1,0,14,0,17.84,14.5,3750.38,0.09,58,0.07,208.35,258.64,0.2,4,8,18,0.24,29,29,11,11,21,22.22,14,0
3,3,2,0,9,4,2,0.22,2,2,2,1,8,1,0,9,3,13.59,10.67,1546.1,0.05,33,0.09,85.89,144.95,0.5,1,2,8,0.09,16,17,9,12,22,50,9,0
16,20,7,0,17,12,16,0.32,6,2,5,0.31,46,1,0,50,1,60.97,25.55,39787.9,0.52,243,0.04,2210.44,1557.48,0.06,3,6,32,0.19,89,154,54,31,84,25.37,50,0
11,17,12,0,16,26,9,0.18,12,2.17,7,0.78,55,3,0,50,2,66.78,20.93,29266.83,0.47,233,0.05,1625.93,1398,0.33,7,13,48,0.12,107,126,46,18,78,24.24,50,0
8,29,5,0,2,56,15,0.48,28,2,15,1,75,15,1,31,0,116.24,14.08,23049.99,0.55,276,0.07,1280.56,1636.88,1,14,28,62,0.36,115,161,49,12,42,6.06,31,0
16,33,14,0,4,56,17,0.27,24,2.33,11,0.65,93,7,0,64,0,122.45,14.22,24755.65,0.58,277,0.07,1375.31,1741.06,0.41,16,28,78,0.2,130,147,64,14,85,5.88,64,1
4,3,3,0,2,4,2,0.1,2,2,2,1,8,1,0,20,1,48.42,7.26,2552.29,0.12,68,0.14,141.79,351.55,0.5,1,2,8,0.07,33,35,25,11,27,9.09,20,1
3,3,1,0,2,4,2,0.29,2,2,1,0.5,7,1,0,7,1,11.47,5,286.8,0.02,16,0.2,15.93,57.36,0.5,1,2,7,0.15,5,11,4,8,13,22.22,7,0
10,5,7,3,7,8,3,0.06,4,2,3,1,20,1,0,44,2,58.61,15.28,13683.04,0.3,151,0.07,760.17,895.54,0.33,2,4,19,0.05,73,78,43,18,65,18.52,47,0
5,19,2,0,0,36,10,0.31,18,2,6,0.6,42,1,0,32,0,45.5,17.38,13744.03,0.26,144,0.06,763.56,790.83,0.1,9,18,34,0.26,63,81,29,16,38,0,32,0
11,5,10,0,6,8,3,0.15,4,2,3,1,20,1,0,20,0,88.39,4.9,2125.07,0.14,82,0.2,118.06,433.4,0.33,2,4,19,0.08,38,44,31,8,38,23.08,20,0
7,7,4,0,6,4,5,0.17,2,2,5,1,17,1,0,29,0,34.65,11.83,4846.19,0.14,77,0.08,269.23,409.79,0.2,1,2,14,0.12,32,45,23,17,43,17.14,29,0
0,3,3,0,0,4,2,0.4,2,2,2,1,7,1,0,5,1,21.19,3.21,218.94,0.02,19,0.31,12.16,68.11,0.5,1,2,7,0.33,9,10,7,5,6,0,5,0
5,3,5,0,2,4,2,0.2,2,2,2,1,10,1,0,10,0,58.84,4.17,1021.56,0.08,51,0.24,56.75,245.18,0.5,1,2,10,0.11,25,26,21,7,18,16.67,10,0
14,15,15,0,4,4,13,0.25,2,2,13,1,40,1,0,53,0,58.74,23.3,31875.39,0.46,224,0.04,1770.86,1368.31,0.08,1,2,29,0.18,82,142,44,25,72,7.02,53,0
5,3,1,0,0,4,2,0.11,2,2,2,1,17,1,0,19,1,51.65,15.24,11992.27,0.26,162,0.07,666.24,786.99,0.5,1,2,17,0.08,80,82,21,8,25,0,19,0
4,9,4,0,6,12,5,0.33,4,3,3,0.6,17,5,1,15,1,26.04,12,3749.74,0.1,65,0.08,208.32,312.48,1,4,6,14,0.19,32,33,16,12,26,28.57,15,0
34,27,4,1,25,52,14,0.13,26,2,8,0.57,71,14,1,110,1,59.32,36.56,79271.67,0.72,345,0.03,4403.98,2168.46,1,13,26,59,0.08,155,190,53,25,171,19.12,111,0
6,24,2,0,5,16,19,0.44,8,2,3,0.16,51,4,0,43,1,49.79,27.19,36801.7,0.45,216,0.04,2044.54,1353.63,0.21,4,8,34,0.35,90,126,48,29,55,10.42,43,0
22,35,10,0,12,62,18,0.27,30,2.07,3,0.17,81,4,0,66,0,68.92,17.87,22020.91,0.41,196,0.06,1223.38,1231.94,0.22,16,31,65,0.18,91,105,56,22,101,15.38,66,0
9,9,17,0,4,12,5,0.16,6,2,5,1,34,1,0,32,2,104.23,6.59,4519.95,0.23,121,0.15,251.11,686.36,0.2,3,6,31,0.11,54,67,41,10,46,11.11,32,1
9,7,6,0,7,12,4,0.24,6,2,4,1,19,1,0,17,2,76.51,5,1912.87,0.13,74,0.2,106.27,382.57,0.25,3,6,17,0.12,35,39,28,8,34,29.17,17,0
6,7,0,0,16,12,4,0.15,6,2,1,0.25,18,1,0,26,0,49.31,22.86,25777.05,0.38,195,0.04,1432.06,1127.37,0.25,3,6,16,0.08,94,101,37,18,49,38.1,26,0
3,15,2,0,14,14,8,0.73,4,3.5,7,0.88,22,5,0,11,0,17.7,12.6,2809.44,0.07,50,0.08,156.08,222.97,0.63,5,8,16,0.28,21,29,10,12,29,56,11,0
7,11,4,0,8,20,6,0.16,10,2,5,0.83,28,4,0,37,1,40.77,26.33,28263.16,0.36,181,0.04,1570.18,1073.46,0.67,5,10,24,0.11,87,94,38,23,53,17.78,37,0
0,3,2,0,0,4,2,0.22,2,2,2,1,7,1,0,9,2,21.51,3,193.59,0.02,18,0.33,10.75,64.53,0.5,1,2,7,0.2,6,12,6,6,10,0,9,0
1,3,4,0,3,4,2,0.22,2,2,2,1,14,1,0,9,0,38.84,8.35,2705.36,0.11,75,0.12,150.3,324.14,0.5,1,2,14,0.14,31,44,13,7,14,25,9,1
10,13,14,0,5,20,7,0.13,10,2,7,1,53,1,0,52,2,138.63,8.18,9298.52,0.38,193,0.12,516.58,1135.35,0.14,5,10,48,0.1,91,102,50,9,68,8.77,52,0
4,11,2,0,8,20,6,0.3,10,2,3,0.5,24,1,0,20,1,22.99,18.44,7817.84,0.14,82,0.05,434.32,423.93,0.17,5,10,20,0.18,33,49,17,19,33,28.57,20,0
4,9,3,0,13,10,5,0.56,2,5,2,0.4,14,5,1,9,1,20.85,5,521.24,0.03,25,0.2,28.96,104.25,1,4,5,11,0.19,10,15,9,9,27,59.09,9,0
16,25,17,0,3,32,15,0.27,14,2.29,15,1,74,1,0,56,1,65.75,18.88,23432.15,0.41,211,0.05,1301.79,1241.24,0.07,9,16,61,0.2,86,125,41,18,76,5.08,56,1
13,21,5,0,5,30,12,0.17,14,2.14,9,0.75,66,9,0,69,0,57.39,28,44996.99,0.54,258,0.04,2499.83,1607.04,0.75,8,15,56,0.14,119,139,51,24,88,6.76,69,0
5,5,6,0,5,8,3,0.13,4,2,3,1,14,1,0,24,2,51.32,12.79,8399.67,0.22,121,0.08,466.65,656.58,0.33,2,4,13,0.09,53,68,29,14,35,17.24,24,0
11,17,7,0,8,24,9,0.36,8,3,4,0.44,41,7,0,25,0,47.24,12.24,7077.77,0.19,111,0.08,393.21,578.25,0.78,8,12,34,0.2,51,60,25,12,45,24.24,25,0
7,7,14,0,6,8,4,0.17,4,2,4,1,28,1,0,24,2,79.28,6,2854.12,0.16,90,0.17,158.56,475.69,0.25,2,4,26,0.11,40,50,30,9,38,20,24,0
3,6,5,0,0,4,4,0.2,2,2,4,1,15,1,0,20,0,31.73,7.46,1767.82,0.08,51,0.13,98.21,236.84,0.25,1,2,13,0.17,19,32,14,11,24,0,20,0
14,35,12,0,8,60,18,0.25,26,2.31,11,0.61,85,10,0,71,4,57.99,24.52,34868.47,0.47,232,0.04,1937.14,1421.99,0.56,17,30,69,0.19,107,125,48,22,94,10.13,71,1
14,3,7,0,7,4,2,0.06,2,2,1,0.5,30,1,0,34,0,96.01,17.68,30006.37,0.57,276,0.06,1667.02,1697.33,0.5,1,2,30,0.04,132,144,56,15,56,17.07,34,0
3,3,0,0,4,4,2,0.22,2,2,1,0.5,6,1,0,9,3,13.02,7.5,732.54,0.03,25,0.13,40.7,97.67,0.5,1,2,6,0.12,10,15,6,9,17,30.77,9,0
3,13,3,1,9,18,7,0.24,6,3,6,0.86,27,5,0,28,1,60.63,12.22,9057.37,0.25,130,0.08,503.19,741.06,0.71,6,9,22,0.17,55,75,36,16,42,26.32,29,0
8,7,15,0,6,8,4,0.15,4,2,4,1,30,1,0,26,2,76.96,8,4925.18,0.21,108,0.13,273.62,615.65,0.25,2,4,28,0.1,48,60,39,13,41,18.75,26,0
11,7,20,0,4,8,4,0.12,4,2,4,1,34,1,0,34,2,123.03,6.07,4532.64,0.25,131,0.16,251.81,746.76,0.25,2,4,32,0.08,58,73,43,9,50,10.53,34,0
13,25,14,0,11,40,13,0.25,16,2.5,10,0.77,69,7,0,52,0,95.37,13.19,16603.31,0.42,206,0.08,922.41,1258.36,0.54,12,20,58,0.17,95,111,54,15,77,17.46,52,1
4,6,6,0,2,4,4,0.15,2,2,4,1,17,1,0,27,0,35.47,12.24,5313.4,0.14,80,0.08,295.19,434.1,0.25,1,2,15,0.12,34,46,25,18,34,6.9,27,0
3,9,3,0,11,12,5,0.28,4,3,3,0.6,16,4,0,18,2,21.66,18,7016.86,0.13,76,0.06,389.83,389.83,0.8,4,6,13,0.15,34,42,17,18,33,37.93,18,0
18,15,14,0,13,28,8,0.1,14,2,6,0.75,49,5,0,77,1,68.82,37.89,98831.96,0.87,408,0.03,5490.66,2608.07,0.63,7,14,43,0.07,160,248,57,27,109,14.44,77,0
2,3,1,0,2,4,2,0.4,2,2,2,1,7,1,0,5,1,10.24,4.9,245.93,0.02,14,0.2,13.66,50.19,0.5,1,2,7,0.2,7,7,5,7,10,28.57,5,0
5,13,7,0,3,22,7,0.18,10,2.2,7,1,31,5,0,39,1,93.84,6.44,3890.76,0.2,106,0.16,216.15,604.25,0.71,6,11,26,0.15,48,58,41,11,48,7.14,39,0
3,5,4,0,0,8,3,0.33,4,2,3,1,13,1,0,9,0,36.11,4.5,731.32,0.05,37,0.22,40.63,162.52,0.33,2,4,12,0.23,18,19,14,7,13,0,9,0
6,3,6,0,5,4,2,0.15,2,2,2,1,13,1,0,13,0,56.22,3.44,664.34,0.06,44,0.29,36.91,193.26,0.5,1,2,13,0.08,22,22,16,5,25,27.78,13,0
1,3,2,16,0,4,2,0.08,2,2,2,1,21,1,0,9,1,103.2,5.62,3260.81,0.19,109,0.18,181.16,580.09,0.5,1,2,21,0.07,53,56,33,7,27,64,25,0
4,5,1,0,11,8,3,0.17,4,2,1,0.33,12,1,0,18,0,27.93,10.5,3079.11,0.1,61,0.1,171.06,293.25,0.33,2,4,11,0.09,28,33,16,12,34,37.93,18,0
17,15,7,0,19,28,8,0.15,14,2,7,0.88,37,1,0,52,0,45.71,22.46,23055.47,0.34,176,0.04,1280.86,1026.58,0.13,7,14,31,0.09,77,99,36,21,89,26.76,52,0
20,31,11,0,33,46,16,0.24,16,2.88,8,0.5,75,6,0,66,0,74.18,20.79,32071.97,0.51,250,0.05,1781.78,1542.48,0.38,15,24,61,0.13,116,134,53,19,120,33.33,66,1
5,3,3,0,8,4,2,0.22,2,2,2,1,9,1,0,9,0,58.69,8.6,4341.04,0.17,105,0.12,241.17,504.77,0.5,1,2,9,0.09,43,62,20,8,23,47.06,9,0
6,11,5,0,0,12,7,0.15,6,2,7,1,36,1,0,47,1,48.3,28,37867.16,0.45,235,0.04,2103.73,1352.4,0.14,3,6,31,0.13,88,147,33,21,54,0,47,0
7,9,9,0,1,14,5,0.12,6,2.33,4,0.8,31,5,1,41,1,53.95,20.13,21852.33,0.36,179,0.05,1214.02,1085.83,1,4,7,28,0.1,77,102,44,23,50,2.38,41,0
2,3,4,0,4,4,2,0.14,2,2,2,1,8,1,0,14,0,44.39,4.76,1007.83,0.07,45,0.21,55.99,211.52,0.5,1,2,8,0.1,18,27,17,9,21,22.22,14,0
5,45,3,1,6,46,23,0.55,4,11.5,23,1,72,23,1,41,0,104.29,6.4,4271.56,0.22,123,0.16,237.31,667.43,1,21,23,51,0.43,56,67,35,8,54,14.58,42,0
0,21,0,0,1,22,11,0.79,2,11,1,0.09,24,11,1,14,1,44.3,8.75,3391.89,0.13,79,0.11,188.44,387.64,1,10,18,15,0.69,35,44,20,10,16,6.67,14,0
9,17,4,0,5,32,9,0.24,14,2.29,5,0.56,42,5,0,37,0,58.47,12.71,9443.41,0.25,131,0.08,524.63,743.09,0.56,9,16,35,0.17,61,70,36,15,52,11.9,37,0
3,8,3,0,3,4,6,0.29,2,2,2,0.33,20,1,0,21,0,28.09,21.86,13420.45,0.2,117,0.05,745.58,614.01,0.17,1,2,16,0.21,54,63,21,17,28,12.5,21,0
7,7,17,0,5,8,4,0.14,4,2,4,1,31,1,0,28,2,97.47,5.66,3119.36,0.18,101,0.18,173.3,551.4,0.25,2,4,29,0.1,44,57,35,9,41,15.15,28,0
2,5,7,0,2,8,3,0.12,4,2,3,1,17,1,0,26,2,56.24,6.87,2658.2,0.13,76,0.15,147.68,386.65,0.33,2,4,16,0.1,33,43,24,10,31,7.14,26,0
4,7,1,0,0,4,5,0.23,2,2,2,0.4,16,1,0,22,1,27.67,17.58,8545.97,0.16,92,0.06,474.78,486.26,0.2,1,2,13,0.19,37,55,20,19,27,0,22,0
4,9,2,0,8,14,5,0.31,6,2.33,2,0.4,18,4,0,16,0,16.51,22.88,8646.51,0.13,77,0.04,480.36,377.83,0.8,4,7,15,0.17,35,42,13,17,29,33.33,16,0
2,7,4,0,0,12,4,0.33,6,2,3,0.75,15,1,0,12,0,25.93,5.5,784.43,0.05,33,0.18,43.58,142.62,0.25,3,6,13,0.27,11,22,10,10,15,0,12,0
25,37,23,0,15,38,26,0.34,18,2.11,26,1,94,1,0,77,1,79.98,26.99,58239.35,0.72,327,0.04,3235.52,2158.17,0.04,10,19,70,0.22,133,194,69,28,118,16.3,77,1
4,9,2,0,5,18,5,0.26,8,2.25,3,0.6,19,4,0,19,0,16.09,18.42,5457.54,0.1,61,0.05,303.2,296.34,0.8,5,9,16,0.17,26,35,12,17,29,20.83,19,0
2,5,1,0,5,6,3,0.6,2,3,2,0.67,8,3,1,5,1,6.37,9,516.23,0.02,16,0.11,28.68,57.36,1,2,3,7,0.23,6,10,3,9,13,50,5,0
8,17,5,0,10,32,9,0.26,16,2,5,0.56,40,1,0,35,6,55.05,13.19,9577.07,0.24,133,0.08,532.06,726.1,0.11,8,16,33,0.17,51,82,29,15,54,22.22,35,0
9,11,8,0,16,22,6,0.21,10,2.2,5,0.83,27,3,0,28,1,43.07,17.52,13214.36,0.25,133,0.06,734.13,754.43,0.5,6,11,23,0.11,59,74,32,19,54,36.36,28,0
25,25,9,0,18,38,14,0.22,18,2.11,12,0.86,77,1,0,63,1,81.53,17.98,26360.63,0.49,240,0.06,1464.48,1466.05,0.07,10,19,65,0.13,110,130,52,17,107,22.22,63,1
8,15,1,0,2,28,8,0.19,14,2,2,0.25,32,1,0,43,1,72.3,5.69,2338.69,0.14,83,0.18,129.93,411.2,0.13,7,14,26,0.15,39,44,24,7,54,4.44,43,0
