$LOC_BLANK,$BRANCH_COUNT,$CALL_PAIRS,$LOC_CODE_AND_COMMENT,$LOC_COMMENTS,$CONDITION_COUNT,$CYCLOMATIC_COMPLEXITY,$CYCLOMATIC_DENSITY,$DECISION_COUNT,$DECISION_DENSITY,$DESIGN_COMPLEXITY,$DESIGN_DENSITY,$EDGE_COUNT,$ESSENTIAL_COMPLEXITY,$ESSENTIAL_DENSITY,$LOC_EXECUTABLE,$PARAMETER_COUNT,$HALSTEAD_CONTENT,$HALSTEAD_DIFFICULTY,$HALSTEAD_EFFORT,$HALSTEAD_ERROR_EST,$HALSTEAD_LENGTH,$HALSTEAD_LEVEL,$HALSTEAD_PROG_TIME,$HALSTEAD_VOLUME,$MAINTENANCE_SEVERITY,$MODIFIED_CONDITION_COUNT,$MULTIPLE_CONDITION_COUNT,$NODE_COUNT,$NORMALIZED_CYLOMATIC_COMPLEXITY,$NUM_OPERANDS,$NUM_OPERATORS,$NUM_UNIQUE_OPERANDS,$NUM_UNIQUE_OPERATORS,$NUMBER_OF_LINES,$PERCENT_COMMENTS,$LOC_TOTAL,$<Defective
0,3,0,0,0,4,2,0.4,2,2,1,0.5,5,1,0,5,3,9.87,5.63,312.22,0.02,15,0.18,17.35,55.51,0.5,1,2,5,0.29,5,10,4,9,7,0,5,0
4,3,1,1,0,4,2,0.2,2,2,1,0.5,7,1,0,9,1,16.64,8.94,1328.8,0.05,35,0.11,73.82,148.68,0.5,1,2,7,0.13,13,22,8,11,16,10,10,1
22,7,16,3,15,16,4,0.11,8,2,3,0.75,30,1,0,33,0,65.05,11.02,7893.16,0.24,129,0.09,438.51,716.54,0.25,4,8,28,0.05,47,82,32,15,75,35.29,36,0
2,33,6,2,0,0,17,0.47,0,0,7,0.41,68,14,0,34,1,23,44.18,44903.55,0.34,184,0.02,2494.64,1016.34,0.82,0,0,53,0.44,81,103,22,24,39,5.56,36,0
16,19,8,10,6,16,11,0.23,6,2,8,0.73,35,5,0,38,0,45.92,15.77,11414.37,0.24,127,0.06,634.13,723.96,0.45,5,8,26,0.15,43,84,30,22,72,29.63,48,0
4,3,0,0,2,4,2,0.29,2,2,1,0.5,6,1,0,7,0,9.86,6.67,438.19,0.02,19,0.15,24.34,65.73,0.5,1,2,6,0.13,5,14,3,8,15,22.22,7,0
19,13,3,5,19,24,7,0.23,12,2,4,0.57,29,5,0,25,0,13.72,40.09,22050,0.18,110,0.02,1225,550,0.71,6,12,24,0.1,42,68,11,21,70,48.98,30,0
16,13,4,0,1,24,7,0.37,12,2,6,0.86,31,6,0,19,0,28.97,19.29,10774.31,0.19,115,0.05,598.57,558.67,0.86,6,12,26,0.17,36,79,14,15,42,5,19,0
5,67,16,1,1,0,34,0.37,0,0,30,0.88,153,17,0,90,2,77.21,42.88,141975.76,1.1,542,0.02,7887.54,3310.82,0.5,0,0,121,0.35,243,299,51,18,98,2.17,91,0
14,1,10,3,7,0,1,0.07,0,0,1,1,11,1,0,11,0,59.86,4.16,1034.06,0.08,55,0.24,57.45,248.8,1,0,0,12,0.03,19,36,16,7,37,47.62,14,1
1,7,2,0,0,0,4,0.4,0,0,3,0.75,16,1,0,10,0,17.72,10.83,2080,0.06,48,0.09,115.56,192,0.25,0,0,14,0.31,13,35,6,10,13,0,10,0
4,6,1,8,0,4,4,0.09,2,2,2,0.5,15,1,0,37,1,35.88,23.06,19076.12,0.28,164,0.04,1059.78,827.28,0.25,1,2,13,0.08,49,115,17,16,51,17.78,45,1
4,5,0,0,10,0,3,0.38,0,0,1,0.33,11,1,0,8,0,19.97,6.61,872.67,0.04,33,0.15,48.48,132,0.33,0,0,10,0.13,17,16,9,7,24,55.56,8,0
16,13,3,0,10,24,7,0.18,12,2,4,0.57,29,1,0,40,0,29.27,34,33832.75,0.33,194,0.03,1879.6,995.08,0.14,6,12,24,0.1,72,122,18,17,68,20,40,0
13,3,2,0,11,4,2,0.06,2,2,1,0.5,15,1,0,32,0,39.18,18.35,13195.42,0.24,148,0.05,733.08,718.98,0.5,1,2,15,0.03,52,96,17,12,58,25.58,32,0
5,1,1,0,0,0,1,0.08,0,0,1,1,2,1,0,12,1,23.98,8,1534.53,0.06,46,0.13,85.25,191.82,1,0,0,3,0.05,16,30,9,9,19,0,12,0
2,1,0,1,0,0,1,0.14,0,0,1,1,1,1,0,6,0,15.39,10.56,1716.57,0.05,37,0.09,95.37,162.52,1,0,0,2,0.09,13,24,8,13,11,14.29,7,0
4,1,1,0,0,0,1,0.1,0,0,1,1,2,1,0,10,1,19.15,8.36,1337.14,0.05,40,0.12,74.29,160,1,0,0,3,0.06,13,27,7,9,16,0,10,0
17,6,1,0,4,0,5,0.2,0,0,5,1,16,1,0,25,1,26.68,22.5,13507.21,0.2,118,0.04,750.4,600.32,0.2,0,0,13,0.1,40,78,16,18,48,13.79,25,0
0,3,0,0,1,0,2,0.67,0,0,1,0.5,5,1,0,3,0,8.15,3.5,99.85,0.01,9,0.29,5.55,28.53,0.5,0,0,5,0.4,2,7,2,7,5,25,3,0
0,7,6,0,0,0,4,1,0,0,3,0.75,19,3,0,0,2,0,0,0,0,0,0,0,0,0.75,0,0,17,0.19,0,0,0,0,21,0,0,0
0,5,1,1,2,8,3,0.3,4,2,2,0.67,9,1,0,9,3,18.87,7.8,1147.86,0.05,33,0.13,63.77,147.16,0.33,2,4,8,0.21,13,20,10,12,14,25,10,0
38,39,4,2,67,76,20,0.14,38,2,6,0.3,94,5,0,140,3,58.73,44.94,118581.28,0.88,432,0.02,6587.85,2638.88,0.25,19,38,76,0.08,192,240,47,22,251,33.01,142,0
1,1,0,0,4,4,1,0.14,2,2,1,1,1,1,0,7,0,12.14,6.4,497.34,0.03,21,0.16,27.63,77.71,1,1,2,2,0.07,8,13,5,8,14,36.36,7,0
7,9,0,1,15,12,5,0.21,4,3,1,0.2,15,4,0,23,3,15.44,29.75,13664.81,0.15,103,0.03,759.16,459.32,0.8,4,6,12,0.1,34,69,8,14,49,41.03,24,0
14,5,0,10,5,8,3,0.12,4,2,1,0.33,13,1,0,16,0,34.59,16,8854.91,0.18,126,0.06,491.94,553.43,0.33,2,4,12,0.06,52,74,13,8,47,48.39,26,1
19,13,3,4,21,24,7,0.23,12,2,4,0.57,29,5,0,26,0,13.72,40.09,22050,0.18,110,0.02,1225,550,0.71,6,12,24,0.1,42,68,11,21,72,49.02,30,0
3,1,0,0,0,0,1,0.25,0,0,1,1,1,1,0,4,0,8.54,4.67,186.03,0.01,12,0.21,10.33,39.86,1,0,0,2,0.1,4,8,3,7,10,0,4,0
0,5,1,0,0,0,3,0.6,0,0,2,0.67,11,1,0,5,1,4.61,13.5,840.64,0.02,18,0.07,46.7,62.27,0.33,0,0,10,0.5,6,12,2,9,6,0,5,0
1,3,0,0,0,4,2,0.5,2,2,1,0.5,6,1,0,4,4,12.11,6.42,498.63,0.03,21,0.16,27.7,77.71,0.5,1,2,6,0.2,11,10,6,7,10,0,4,0
1,7,0,0,0,0,4,0.44,0,0,1,0.25,10,4,1,9,1,17.43,12.28,2628.09,0.07,48,0.08,146.01,214.05,1,0,0,8,0.36,17,31,9,13,11,0,9,0
1,5,1,0,0,0,3,0.38,0,0,2,0.67,11,1,0,8,0,14.76,9,1195.51,0.04,34,0.11,66.42,132.83,0.33,0,0,10,0.27,9,25,5,10,11,0,8,0
4,9,2,14,3,16,5,0.15,8,2,4,0.8,19,1,0,20,0,15.65,31.06,15095.42,0.16,109,0.03,838.63,486.08,0.2,4,8,16,0.12,43,66,9,13,43,45.95,34,1
27,9,0,7,9,16,5,0.23,8,2,1,0.2,17,1,0,15,0,19.42,18.42,6585.38,0.12,77,0.05,365.85,357.58,0.2,4,8,14,0.08,34,43,12,13,59,51.61,22,0
1,1,0,0,0,0,1,0.33,0,0,1,1,1,1,0,3,0,10.6,7,519.62,0.02,19,0.14,28.87,74.23,1,0,0,2,0.17,7,12,5,10,6,0,3,0
9,17,4,3,4,0,10,0.32,0,0,7,0.7,38,1,0,28,0,23.15,29.25,19806.66,0.23,138,0.03,1100.37,677.15,0.1,0,0,30,0.2,39,99,12,18,50,20,31,0
2,12,1,0,4,0,7,0.33,0,0,2,0.29,24,7,1,21,0,20.89,24.94,12991.07,0.17,100,0.04,721.73,520.95,1,0,0,19,0.25,38,62,16,21,28,16,21,0
22,3,5,1,19,4,2,0.08,2,2,2,1,13,1,0,23,0,24.41,17.27,7283.26,0.14,96,0.06,404.63,421.66,0.5,1,2,13,0.03,38,58,11,10,67,46.51,24,0
0,5,1,0,0,0,3,1,0,0,2,0.67,11,1,0,0,1,0,0,0,0,0,0,0,0,0.33,0,0,10,0.09,0,0,0,0,33,0,0,0
15,3,1,2,9,4,2,0.2,2,2,1,0.5,8,1,0,8,1,16.9,16.55,4627.48,0.09,61,0.06,257.07,279.68,0.5,1,2,8,0.06,28,33,11,13,35,57.89,10,0
2,3,0,0,0,0,2,0.11,0,0,1,0.5,5,1,0,18,3,32.7,11.79,4542.69,0.13,83,0.08,252.37,385.44,0.5,0,0,5,0.1,30,53,14,11,21,0,18,0
11,23,3,5,6,36,12,0.36,14,2,6,0.5,48,12,1,28,4,18.52,89.3,147650.89,0.55,325,0.01,8202.83,1653.43,1,11,18,38,0.22,141,184,15,19,54,28.21,33,0
2,3,2,0,0,4,2,0.14,2,2,2,1,8,1,0,14,0,17.84,13.33,3171.79,0.08,56,0.08,176.21,237.88,0.5,1,2,8,0.11,24,32,9,10,18,0,14,0
0,1,1,1,1,0,1,0.5,0,0,1,1,2,1,0,1,0,12.85,3.5,157.4,0.01,13,0.29,8.74,44.97,1,0,0,3,0.2,4,9,4,7,5,66.67,2,0
2,7,3,0,0,0,4,0.5,0,0,3,0.75,16,1,0,8,0,20,10.21,2087.05,0.07,49,0.1,115.95,204.33,0.25,0,0,14,0.25,13,36,7,11,16,0,8,0
0,1,1,0,0,0,1,0.2,0,0,1,1,2,1,0,5,1,14.5,6.3,575.67,0.03,24,0.16,31.98,91.38,1,0,0,3,0.14,7,17,5,9,7,0,5,0
3,7,2,0,0,12,4,0.33,6,2,2,0.5,14,1,0,12,0,13.06,15.94,3316.34,0.07,46,0.06,184.24,208.08,0.25,3,6,12,0.19,17,29,8,15,21,0,12,0
12,13,2,3,11,0,7,0.22,0,0,5,0.71,37,7,1,29,0,21.47,27.69,16463.18,0.2,120,0.04,914.62,594.5,1,0,0,32,0.11,40,80,13,18,61,32.56,32,0
19,39,5,6,21,76,20,0.2,38,2,2,0.1,93,1,0,96,1,29.39,91.11,243939.5,0.89,472,0.01,13552.19,2677.38,0.05,19,38,75,0.14,205,267,27,24,144,21.95,102,1
0,1,0,0,0,0,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,1,0,1,0,1,1,0,0,0
27,37,9,68,28,70,19,0.12,34,2,5,0.26,114,3,0,92,0,85.05,84.51,607387.78,2.4,1094,0.01,33743.77,7187.42,0.16,18,35,97,0.09,500,594,71,24,217,51.06,160,1
9,5,2,2,6,8,3,0.21,4,2,2,0.67,10,3,1,12,0,19.75,15.33,4643.9,0.1,63,0.07,257.99,302.86,1,2,4,9,0.1,23,40,12,16,31,40,14,0
6,1,3,0,0,0,1,0.09,0,0,1,1,5,1,0,11,0,27.47,8.18,1838.78,0.07,52,0.12,102.15,224.74,1,0,0,6,0.05,20,32,11,9,19,0,11,0
1,5,2,0,0,0,3,0.5,0,0,2,0.67,11,1,0,6,0,18.13,7.5,1020,0.05,34,0.13,56.67,136,0.33,0,0,10,0.23,9,25,6,10,13,0,6,0
5,7,0,6,2,12,4,0.17,6,2,1,0.25,13,1,0,17,0,18.32,13.44,3312.04,0.08,57,0.07,184,246.35,0.25,3,6,11,0.13,22,35,9,11,32,32,23,1
10,3,2,0,2,4,2,0.2,2,2,2,1,9,1,0,10,0,17.77,9,1439.2,0.05,37,0.11,79.96,159.91,0.5,1,2,9,0.08,12,25,8,12,24,16.67,10,0
1,9,4,0,0,0,5,0.5,0,0,4,0.8,21,1,0,10,0,23.26,11.69,3177.45,0.09,64,0.09,176.52,271.87,0.2,0,0,18,0.29,17,47,8,11,17,0,10,0
6,5,1,0,0,8,3,0.14,4,2,3,1,21,1,0,22,0,20.79,38.4,30652.35,0.27,179,0.03,1702.91,798.24,0.33,2,4,20,0.1,64,115,10,12,30,0,22,0
1,15,1,0,0,0,8,0.73,0,0,2,0.25,26,7,0,11,1,15.48,21,6826.47,0.11,70,0.05,379.25,325.07,0.88,0,0,20,0.62,28,42,10,15,13,0,11,0
5,3,2,1,1,4,2,0.25,2,2,2,1,6,1,0,7,4,20.23,4.44,399.66,0.03,22,0.23,22.2,89.92,0.5,1,2,6,0.11,10,12,9,8,19,22.22,8,0
1,3,0,4,0,4,2,0.18,2,2,1,0.5,6,1,0,7,5,23.19,9.09,1916.65,0.07,48,0.11,106.48,210.83,0.5,1,2,6,0.11,20,28,11,10,18,36.36,11,0
2,5,5,0,0,4,3,0.18,2,2,3,1,13,1,0,17,0,33.91,8.29,2327.82,0.09,63,0.12,129.32,280.94,0.33,1,2,12,0.14,29,34,14,8,21,0,17,0
2,11,0,1,1,18,6,0.55,8,2,1,0.17,19,5,0,10,3,7.63,28.8,6324.94,0.07,50,0.03,351.39,219.62,0.83,5,9,15,0.35,18,32,5,16,17,16.67,11,0
1,1,1,0,0,0,1,0.25,0,0,1,1,2,1,0,4,1,13.95,2.5,87.17,0.01,11,0.4,4.84,34.87,1,0,0,3,0.14,4,7,4,5,7,0,4,0
16,15,6,4,9,24,8,0.18,10,2,4,0.5,35,1,0,41,1,25.3,43.81,48552.55,0.37,203,0.02,2697.36,1108.26,0.13,7,12,29,0.11,80,123,21,23,72,24.07,45,1
4,13,2,0,3,0,7,0.19,0,0,7,1,37,1,0,36,2,25.36,30.47,23549.34,0.26,156,0.03,1308.3,772.85,0.14,0,0,32,0.16,74,82,17,14,44,7.69,36,0
60,3,8,8,34,4,2,0.06,2,2,2,1,14,1,0,23,0,47.21,17.87,15085.27,0.28,162,0.06,838.07,843.93,0.5,1,2,14,0.02,66,96,24,13,126,64.62,31,0
1,3,1,0,0,0,2,0.4,0,0,2,1,7,1,0,5,3,11.52,5.6,361.36,0.02,18,0.18,20.08,64.53,0.5,0,0,7,0.29,8,10,5,7,7,0,5,0
1,15,4,0,1,0,8,0.42,0,0,8,1,27,8,1,19,1,22.78,18,7380,0.14,82,0.06,410,410,1,0,0,21,0.36,36,46,16,16,22,5,19,0
8,5,2,3,5,8,3,0.07,4,2,2,0.67,14,1,0,40,0,29,28.53,23605.34,0.28,174,0.04,1311.41,827.35,0.33,2,4,13,0.05,83,91,16,11,59,16.67,43,1
9,5,1,1,4,8,3,0.21,4,2,2,0.67,11,1,0,13,0,18.43,15,4147.27,0.09,62,0.07,230.4,276.48,0.33,2,4,10,0.1,25,37,10,12,29,27.78,14,0
2,1,1,0,0,0,1,0.25,0,0,1,1,2,1,0,4,1,8.54,4.67,186.03,0.01,12,0.21,10.33,39.86,1,0,0,3,0.13,4,8,3,7,8,0,4,0
3,11,1,2,5,20,6,0.21,10,2,4,0.67,25,1,0,26,0,30.3,37.24,42015.91,0.38,215,0.03,2334.22,1128.3,0.17,5,10,21,0.16,92,123,21,17,38,21.21,28,0
3,3,0,0,0,4,2,0.29,2,2,1,0.5,6,1,0,7,0,12.33,7.2,639.44,0.03,24,0.14,35.52,88.81,0.5,1,2,6,0.17,9,15,5,8,12,0,7,0
0,15,0,0,0,0,8,1,0,0,1,0.13,29,8,1,0,1,0,0,0,0,0,0,0,0,1,0,0,23,0.32,0,0,0,0,25,0,0,0
6,3,1,1,1,4,2,0.12,2,2,1,0.5,7,1,0,16,1,23.3,10.39,2514.4,0.08,56,0.1,139.69,242.03,0.5,1,2,7,0.08,17,39,9,11,26,11.11,17,1
17,12,1,19,5,12,8,0.15,6,2,5,0.63,24,1,0,35,2,18.87,122.91,285104.16,0.77,442,0.01,15839.12,2319.58,0.13,3,6,18,0.1,199,243,17,21,80,40.68,54,0
9,15,1,15,3,28,8,0.14,14,2,1,0.13,33,1,0,41,1,28.48,37.78,40642.28,0.36,205,0.03,2257.9,1075.83,0.13,7,14,27,0.11,68,137,18,20,70,30.51,56,1
11,1,3,1,15,0,1,0.1,0,0,1,1,5,1,0,9,0,49.83,3.94,772.6,0.07,44,0.25,42.92,196.21,1,0,0,6,0.03,21,23,16,6,38,64,10,0
18,15,5,7,11,26,8,0.14,12,2,4,0.5,33,1,0,51,0,28.26,46.75,61762.26,0.44,245,0.02,3431.24,1321.12,0.13,7,13,27,0.09,85,160,20,22,89,26.09,58,1
1,1,2,0,0,0,1,0.2,0,0,1,1,3,1,0,5,1,16.65,4.67,362.64,0.03,21,0.21,20.15,77.71,1,0,0,4,0.14,8,13,6,7,7,0,5,0
10,1,1,0,21,0,1,0.13,0,0,1,1,8,1,0,8,1,48.13,6.3,1910.42,0.1,68,0.16,106.13,303.24,1,0,0,9,0.02,27,41,15,7,41,72.41,8,0
7,5,1,1,3,8,3,0.13,4,2,3,1,12,1,0,22,2,22.3,13.8,4246.27,0.1,69,0.07,235.9,307.7,0.33,2,4,11,0.08,23,46,10,12,37,15.38,23,1
1,7,3,0,0,0,4,0.5,0,0,3,0.75,16,1,0,8,0,21.13,9.29,1821.84,0.07,48,0.11,101.21,196.2,0.25,0,0,14,0.27,13,35,7,10,15,0,8,0
11,23,2,1,20,38,12,0.18,16,2,3,0.25,41,11,0,64,2,38.24,23.68,21440.49,0.3,169,0.04,1191.14,905.43,0.92,11,19,31,0.12,74,95,25,16,97,24.71,65,0
7,5,4,1,10,8,3,0.14,4,2,3,1,14,1,0,21,0,37.4,17.11,10951.11,0.21,128,0.06,608.4,640,0.33,2,4,13,0.07,44,84,18,14,42,34.38,22,0
1,13,3,0,1,0,7,0.35,0,0,4,0.57,27,1,0,20,3,22.92,21.71,10799.55,0.17,97,0.05,599.98,497.54,0.14,0,0,22,0.3,41,56,17,18,23,4.76,20,0
1,5,0,0,0,6,3,0.3,2,3,1,0.33,8,3,1,10,0,12.94,11.38,1673.96,0.05,33,0.09,93,147.16,1,2,3,7,0.23,13,20,8,14,13,0,10,0
0,5,0,0,0,0,3,1,0,0,1,0.33,10,1,0,0,1,0,0,0,0,0,0,0,0,0.33,0,0,9,0.33,0,0,0,0,9,0,0,0
0,1,1,0,0,0,1,0.5,0,0,1,1,2,1,0,2,0,7.74,1.5,17.41,0,5,0.67,0.97,11.61,1,0,0,3,0.25,2,3,2,3,4,0,2,0
1,7,1,0,0,0,4,0.5,0,0,3,0.75,16,1,0,8,0,14.27,14.3,2917.2,0.07,51,0.07,162.07,204,0.25,0,0,14,0.27,13,38,5,11,15,0,8,0
0,1,0,0,0,0,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,2,0,0,2,1,0,0,2,1,0,2,0,2,1,0,0,0
10,1,0,0,10,0,1,0.08,0,0,1,1,1,1,0,12,1,15.5,9.33,1350.34,0.05,38,0.11,75.02,144.68,1,0,0,2,0.03,14,24,6,8,33,45.45,12,0
3,1,1,0,46,0,1,0.25,0,0,1,1,2,1,0,4,2,10.63,3.75,149.49,0.01,12,0.27,8.3,39.86,1,0,0,3,0.02,5,7,4,6,55,92,4,0
2,5,3,0,3,8,3,0.3,4,2,3,1,11,1,0,10,0,33.36,3.5,408.65,0.04,28,0.29,22.7,116.76,0.33,2,4,10,0.18,11,17,11,7,17,23.08,10,0
9,17,1,5,6,30,9,0.15,14,2,2,0.22,36,4,0,54,0,36.36,38.32,53395.15,0.46,241,0.03,2966.4,1393.31,0.44,8,15,29,0.12,99,142,31,24,76,16.92,59,1
3,3,0,2,0,4,2,0.25,2,2,1,0.5,6,1,0,6,0,10.38,9.9,1017.71,0.03,27,0.1,56.54,102.8,0.5,1,2,6,0.15,11,16,5,9,13,25,8,1
2,1,2,4,0,0,1,0.17,0,0,1,1,3,1,0,2,1,16.78,6.29,663.06,0.04,27,0.16,36.84,105.49,1,0,0,4,0.1,11,16,7,8,10,66.67,6,0
0,1,0,0,1,0,1,0.5,0,0,1,1,1,1,0,2,1,8,3,72,0.01,8,0.33,4,24,1,0,0,2,0.2,2,6,2,6,5,33.33,2,0
0,3,0,0,0,0,2,0.4,0,0,1,0.5,6,1,0,5,1,13.47,15,3030.7,0.07,46,0.07,168.37,202.05,0.5,0,0,6,0.29,15,31,7,14,7,0,5,0
25,7,7,5,13,12,4,0.11,6,2,3,0.75,23,1,0,31,1,32.79,29.64,28803.52,0.32,178,0.03,1600.2,971.78,0.25,3,6,21,0.05,78,100,25,19,76,36.73,36,0
18,15,12,10,9,26,8,0.11,12,2,4,0.5,43,3,0,60,0,57.8,36.88,78609.33,0.71,358,0.03,4367.19,2131.6,0.38,7,13,37,0.08,144,214,41,21,99,24.05,70,1
0,3,3,0,0,0,2,1,0,0,1,0.5,11,1,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,11,0.02,0,0,0,0,84,0,0,0
13,19,2,3,13,34,10,0.2,16,2,4,0.4,38,1,0,48,0,37.58,27.77,28975.86,0.35,190,0.04,1609.77,1043.45,0.1,9,17,30,0.13,76,114,26,19,79,25,51,0
13,9,0,2,5,16,5,0.23,8,2,1,0.2,18,5,1,20,0,11.26,42.25,20101.19,0.16,112,0.02,1116.73,475.77,1,4,8,15,0.12,39,73,6,13,42,25.93,22,0
1,1,6,0,0,0,1,0.13,0,0,1,1,7,1,0,8,0,34.88,2,139.52,0.02,21,0.5,7.75,69.76,1,0,0,8,0.09,6,15,6,4,11,0,8,0
8,15,3,2,2,26,8,0.4,10,2,4,0.5,26,5,0,18,1,18.74,26,12669.33,0.16,95,0.04,703.85,487.28,0.63,8,13,20,0.2,39,56,15,20,41,18.18,20,0
1,5,2,0,0,0,3,0.5,0,0,2,0.67,11,1,0,6,0,18.13,7.5,1020,0.05,34,0.13,56.67,136,0.33,0,0,10,0.23,9,25,6,10,13,0,6,0
1,1,0,1,0,0,1,0.5,0,0,1,1,1,1,0,1,1,7.75,2,31.02,0.01,6,0.5,1.72,15.51,1,0,0,2,0.2,2,4,2,4,5,50,2,0
11,1,0,1,19,0,1,0.2,0,0,1,1,1,1,0,4,1,8.64,4.17,150,0.01,12,0.24,8.33,36,1,0,0,2,0.03,5,7,3,5,36,83.33,5,0
1,9,2,0,0,0,5,0.5,0,0,4,0.8,21,1,0,10,0,17.05,15.58,4140.26,0.09,65,0.06,230.01,265.69,0.2,0,0,18,0.29,17,48,6,11,17,0,10,0
17,5,4,2,28,8,3,0.05,4,2,2,0.67,13,1,0,62,0,76.19,36.75,102930.76,0.93,451,0.03,5718.38,2800.46,0.33,2,4,12,0.03,163,288,51,23,111,32.61,64,0
3,15,8,0,0,0,8,0.4,0,0,6,0.75,36,5,0,20,0,44.13,16.55,12089.65,0.24,133,0.06,671.65,730.42,0.63,0,0,30,0.15,60,73,29,16,55,0,20,0
2,7,3,0,0,0,4,0.5,0,0,3,0.75,16,1,0,8,0,20,10.21,2087.05,0.07,49,0.1,115.95,204.33,0.25,0,0,14,0.25,13,36,7,11,16,0,8,0
75,1,3,4,36,0,1,0.14,0,0,1,1,4,1,0,3,2,33.3,2,133.22,0.02,18,0.5,7.4,66.61,1,0,0,5,0,9,9,9,4,624,93.02,7,0
2,3,0,0,0,4,2,0.29,2,2,1,0.5,6,1,0,7,0,12.33,7.2,639.44,0.03,24,0.14,35.52,88.81,0.5,1,2,6,0.18,9,15,5,8,11,0,7,0
8,1,4,3,0,0,1,0.11,0,0,1,1,5,1,0,6,0,25.65,3.21,265.03,0.03,23,0.31,14.72,82.45,1,0,0,6,0.05,9,14,7,5,19,33.33,9,0
16,11,0,3,23,20,6,0.2,10,2,1,0.17,22,1,0,27,0,23.05,32.11,23756.49,0.25,140,0.03,1319.81,739.96,0.17,5,10,18,0.08,61,79,19,20,71,49.06,30,0
4,7,2,3,2,12,4,0.15,6,2,2,0.5,15,1,0,23,0,12.12,25.67,7986.92,0.1,72,0.04,443.72,311.18,0.25,3,6,13,0.12,22,50,6,14,34,17.86,26,1
0,3,0,0,0,0,2,1,0,0,1,0.5,6,1,0,0,0,9.51,4,152.16,0.01,12,0.25,8.45,38.04,0.5,0,0,6,2,4,8,3,6,1,0,0,0
7,1,3,0,3,0,1,0.17,0,0,1,1,4,1,0,6,0,19.93,3,179.38,0.02,18,0.33,9.97,59.79,1,0,0,5,0.06,6,12,5,5,18,33.33,6,0
1,13,4,0,1,16,7,0.5,4,4,6,0.86,21,7,1,14,0,18.23,16.1,4724.35,0.1,64,0.06,262.46,293.44,1,6,8,16,0.39,23,41,10,14,18,6.67,14,0
